Airline,Date,EBITDA,Status,Country,Region,IATA
American Airlines,2000'Q1,13.0,public,US,North America,AA
Delta Air Lines,2000'Q1,18.0,public,US,North America,DL
Southwest Airlines,2000'Q1,22.0,public,US,North America,WN
United Airlines,2000'Q1,12.0,public,US,North America,UA
Alaska Air,2000'Q1,14.0,public,US,North America,AS
Hawaiian,2000'Q1,5.0,public,US,North America,HA
SkyWest,2000'Q1,24.0,public,US,North America,OO
Northwest Airlines,2000'Q1,12.0,merged with Delta 2008,US,North America,NW
Air Canada,2000'Q1,13.0,public,CA,North America,AC
WestJet Airlines,2000'Q1,23.0,public,CA,North America,WS
Air France-KLM,2000'Q1,13.0,public,EU,Europe,AF/KL
Ryanair,2000'Q1,35.0,public,EU,Europe,FR
Finnair,2000'Q1,12.0,public,EU,Europe,AY
Singapore Airlines,2000'Q1,25.0,public,SG,Asia Pacific,SQ
Japan Airlines,2000'Q1,9.0,public,JP,Asia Pacific,JL
ANA Holdings,2000'Q1,8.0,public,JP,Asia Pacific,NH
Korean Air,2000'Q1,6.0,public,KR,Asia Pacific,KE
Cathay Pacific,2000'Q1,25.0,public,HK,Asia Pacific,CX
LATAM Airlines,2000'Q1,7.0,public,CL,Latin America,LA
China Eastern Airlines,2000'Q1,33.0,public,CN,China,MU
China Southern Airlines,2000'Q1,26.0,public,CN,China,CZ
Hainan Airlines,2000'Q1,29.0,public,CN,China,HU
SpiceJet,2000'Q1,-50.0,public,IN,India,SG
Kenya Airlines,2000'Q1,12.0,public,KE,Africa,KQ
Comair,2000'Q1,18.0,public,ZA,Africa,MN
Aeroflot,2000'Q1,13.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2000'Q2,13.0,public,US,North America,AA
Delta Air Lines,2000'Q2,18.0,public,US,North America,DL
Southwest Airlines,2000'Q2,22.0,public,US,North America,WN
United Airlines,2000'Q2,11.0,public,US,North America,UA
Alaska Air,2000'Q2,11.0,public,US,North America,AS
Hawaiian,2000'Q2,4.0,public,US,North America,HA
SkyWest,2000'Q2,23.0,public,US,North America,OO
Northwest Airlines,2000'Q2,11.0,merged with Delta 2008,US,North America,NW
Air Canada,2000'Q2,13.0,public,CA,North America,AC
WestJet Airlines,2000'Q2,24.0,public,CA,North America,WS
Air France-KLM,2000'Q2,12.0,public,EU,Europe,AF/KL
Ryanair,2000'Q2,35.0,public,EU,Europe,FR
Finnair,2000'Q2,13.0,public,EU,Europe,AY
Singapore Airlines,2000'Q2,25.0,public,SG,Asia Pacific,SQ
Japan Airlines,2000'Q2,9.0,public,JP,Asia Pacific,JL
ANA Holdings,2000'Q2,9.0,public,JP,Asia Pacific,NH
Korean Air,2000'Q2,5.0,public,KR,Asia Pacific,KE
Cathay Pacific,2000'Q2,25.0,public,HK,Asia Pacific,CX
LATAM Airlines,2000'Q2,8.0,public,CL,Latin America,LA
China Eastern Airlines,2000'Q2,32.0,public,CN,China,MU
China Southern Airlines,2000'Q2,24.0,public,CN,China,CZ
Hainan Airlines,2000'Q2,29.0,public,CN,China,HU
SpiceJet,2000'Q2,-50.0,public,IN,India,SG
Kenya Airlines,2000'Q2,12.0,public,KE,Africa,KQ
Comair,2000'Q2,17.0,public,ZA,Africa,MN
Aeroflot,2000'Q2,13.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2000'Q3,13.0,public,US,North America,AA
Delta Air Lines,2000'Q3,18.0,public,US,North America,DL
Southwest Airlines,2000'Q3,23.0,public,US,North America,WN
United Airlines,2000'Q3,10.0,public,US,North America,UA
Alaska Air,2000'Q3,9.0,public,US,North America,AS
Hawaiian,2000'Q3,4.0,public,US,North America,HA
SkyWest,2000'Q3,22.0,public,US,North America,OO
Northwest Airlines,2000'Q3,11.0,merged with Delta 2008,US,North America,NW
Air Canada,2000'Q3,14.0,public,CA,North America,AC
WestJet Airlines,2000'Q3,24.0,public,CA,North America,WS
Air France-KLM,2000'Q3,12.0,public,EU,Europe,AF/KL
Ryanair,2000'Q3,35.0,public,EU,Europe,FR
Finnair,2000'Q3,14.0,public,EU,Europe,AY
Singapore Airlines,2000'Q3,25.0,public,SG,Asia Pacific,SQ
Japan Airlines,2000'Q3,10.0,public,JP,Asia Pacific,JL
ANA Holdings,2000'Q3,10.0,public,JP,Asia Pacific,NH
Korean Air,2000'Q3,5.0,public,KR,Asia Pacific,KE
Cathay Pacific,2000'Q3,25.0,public,HK,Asia Pacific,CX
LATAM Airlines,2000'Q3,9.0,public,CL,Latin America,LA
China Eastern Airlines,2000'Q3,32.0,public,CN,China,MU
China Southern Airlines,2000'Q3,22.0,public,CN,China,CZ
Hainan Airlines,2000'Q3,30.0,public,CN,China,HU
SpiceJet,2000'Q3,-50.0,public,IN,India,SG
Kenya Airlines,2000'Q3,12.0,public,KE,Africa,KQ
Comair,2000'Q3,17.0,public,ZA,Africa,MN
Aeroflot,2000'Q3,13.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2000'Q4,13.0,public,US,North America,AA
Delta Air Lines,2000'Q4,18.0,public,US,North America,DL
Southwest Airlines,2000'Q4,23.0,public,US,North America,WN
United Airlines,2000'Q4,9.0,public,US,North America,UA
Alaska Air,2000'Q4,6.0,public,US,North America,AS
Hawaiian,2000'Q4,3.0,public,US,North America,HA
SkyWest,2000'Q4,21.0,public,US,North America,OO
Northwest Airlines,2000'Q4,11.0,merged with Delta 2008,US,North America,NW
Air Canada,2000'Q4,14.0,public,CA,North America,AC
WestJet Airlines,2000'Q4,25.0,public,CA,North America,WS
Air France-KLM,2000'Q4,11.0,public,EU,Europe,AF/KL
Ryanair,2000'Q4,36.0,public,EU,Europe,FR
Finnair,2000'Q4,15.0,public,EU,Europe,AY
Singapore Airlines,2000'Q4,25.0,public,SG,Asia Pacific,SQ
Japan Airlines,2000'Q4,10.0,public,JP,Asia Pacific,JL
ANA Holdings,2000'Q4,11.0,public,JP,Asia Pacific,NH
Korean Air,2000'Q4,5.0,public,KR,Asia Pacific,KE
Cathay Pacific,2000'Q4,25.0,public,HK,Asia Pacific,CX
LATAM Airlines,2000'Q4,9.0,public,CL,Latin America,LA
China Eastern Airlines,2000'Q4,31.0,public,CN,China,MU
China Southern Airlines,2000'Q4,20.0,public,CN,China,CZ
Hainan Airlines,2000'Q4,30.0,public,CN,China,HU
SpiceJet,2000'Q4,-50.0,public,IN,India,SG
Kenya Airlines,2000'Q4,12.0,public,KE,Africa,KQ
Comair,2000'Q4,17.0,public,ZA,Africa,MN
Aeroflot,2000'Q4,14.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2001'Q1,9.0,public,US,North America,AA
Delta Air Lines,2001'Q1,13.0,public,US,North America,DL
Southwest Airlines,2001'Q1,22.0,public,US,North America,WN
United Airlines,2001'Q1,5.0,public,US,North America,UA
Alaska Air,2001'Q1,6.0,public,US,North America,AS
JetBlue Airways,2001'Q1,12.0,public,US,North America,B6
Hawaiian,2001'Q1,2.0,public,US,North America,HA
SkyWest,2001'Q1,20.0,public,US,North America,OO
Northwest Airlines,2001'Q1,7.0,merged with Delta 2008,US,North America,NW
Air Canada,2001'Q1,10.0,public,CA,North America,AC
WestJet Airlines,2001'Q1,24.0,public,CA,North America,WS
Air France-KLM,2001'Q1,11.0,public,EU,Europe,AF/KL
Ryanair,2001'Q1,36.0,public,EU,Europe,FR
Finnair,2001'Q1,14.0,public,EU,Europe,AY
Singapore Airlines,2001'Q1,24.0,public,SG,Asia Pacific,SQ
Qantas Airways,2001'Q1,27.0,public,AU,Asia Pacific,QF
